Team,Date,MATCHUP,Home/Away,W/L,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
TOR,6/13/19,TOR @ GSW,TRUE,W,241,114,39,82,47.6,26,49,53.06122449,13,33,39.4,23,29,79.3,11,28,39,25,8,2,12,23,4
GSW,6/13/19,GSW vs. TOR,FALSE,L,240,110,39,80,48.8,28,49,57.14285714,11,31,35.5,21,30,70,11,31,42,28,9,6,16,23,-4
TOR,6/10/19,TOR vs. GSW,FALSE,L,238,105,38,85,44.7,30,53,56.60377358,8,32,25,21,27,77.8,13,30,43,19,6,5,13,19,-1
GSW,6/10/19,GSW @ TOR,TRUE,W,240,106,38,82,46.3,18,40,45,20,42,47.6,10,14,71.4,6,31,37,27,5,7,15,22,1
TOR,6/7/19,TOR @ GSW,TRUE,W,241,105,36,86,41.9,26,54,48.14814815,10,32,31.3,23,24,95.8,7,32,39,22,12,4,9,21,13
GSW,6/7/19,GSW vs. TOR,FALSE,L,241,92,35,78,44.9,27,51,52.94117647,8,27,29.6,14,21,66.7,8,34,42,26,6,6,17,23,-13
TOR,6/5/19,TOR @ GSW,TRUE,W,239,123,43,82,52.4,26,44,59.09090909,17,38,44.7,20,21,95.2,5,35,40,30,9,10,14,22,14
GSW,6/5/19,GSW vs. TOR,FALSE,L,241,109,36,91,39.6,24,55,43.63636364,12,36,33.3,25,30,83.3,13,28,41,25,8,3,14,21,-14
TOR,6/2/19,TOR vs. GSW,FALSE,L,240,104,35,94,37.2,24,56,42.85714286,11,38,28.9,23,26,88.5,15,34,49,17,8,2,15,22,-5
GSW,6/2/19,GSW @ TOR,TRUE,W,240,109,38,82,46.3,25,48,52.08333333,13,34,38.2,20,23,87,6,36,42,34,7,5,15,26,5
TOR,5/30/19,TOR vs. GSW,FALSE,W,241,118,39,77,50.6,26,44,59.09090909,13,33,39.4,27,32,84.4,7,29,36,25,6,6,10,26,9
GSW,5/30/19,GSW @ TOR,TRUE,L,239,109,34,78,43.6,22,47,46.80851064,12,31,38.7,29,31,93.5,9,29,38,29,6,2,16,27,-9
TOR,5/25/19,TOR vs. MIL,FALSE,W,239,100,36,74,48.6,24,47,51.06382979,12,27,44.4,16,22,72.7,6,32,38,20,7,4,10,24,6
MIL,5/25/19,MIL @ TOR,TRUE,L,240,94,30,75,40,18,41,43.90243902,12,34,35.3,22,31,71,12,30,42,19,7,7,11,22,-6
TOR,5/23/19,TOR @ MIL,TRUE,W,240,105,31,84,36.9,13,41,31.70731707,18,43,41.9,25,31,80.6,10,35,45,19,6,4,6,16,6
MIL,5/23/19,MIL vs. TOR,FALSE,L,240,99,38,84,45.2,28,53,52.83018868,10,31,32.3,13,18,72.2,8,45,53,26,2,2,11,22,-6
TOR,5/21/19,TOR vs. MIL,FALSE,W,239,120,41,87,47.1,27,46,58.69565217,14,41,34.1,24,27,88.9,10,34,44,32,9,5,11,23,18
MIL,5/21/19,MIL @ TOR,TRUE,L,241,102,37,80,46.3,26,45,57.77777778,11,35,31.4,17,26,65.4,7,33,40,30,8,7,12,22,-18
POR,5/20/19,POR vs. GSW,FALSE,L,265,117,47,98,48,31,57,54.38596491,16,41,39,7,10,70,6,32,38,31,5,6,12,15,-2
GSW,5/20/19,GSW @ POR,TRUE,W,264,119,46,99,46.5,34,60,56.66666667,12,39,30.8,15,19,78.9,15,41,56,30,10,5,15,17,2
TOR,5/19/19,TOR vs. MIL,FALSE,W,290,118,40,102,39.2,23,57,40.35087719,17,45,37.8,21,26,80.8,8,47,55,28,11,10,17,30,6
MIL,5/19/19,MIL @ TOR,TRUE,L,291,112,38,102,37.3,24,58,41.37931034,14,44,31.8,22,33,66.7,13,50,63,22,14,5,20,30,-6
POR,5/18/19,POR vs. GSW,FALSE,L,239,99,34,85,40,23,50,46,11,35,31.4,20,33,60.6,10,31,41,22,9,3,11,23,-11
GSW,5/18/19,GSW @ POR,TRUE,W,239,110,41,84,48.8,33,58,56.89655172,8,26,30.8,20,23,87,7,42,49,27,9,5,13,24,11
TOR,5/17/19,TOR @ MIL,TRUE,L,240,103,37,87,42.5,27,55,49.09090909,10,32,31.3,19,25,76,6,34,40,19,3,6,13,30,-22
MIL,5/17/19,MIL vs. TOR,FALSE,W,240,125,43,92,46.7,30,51,58.82352941,13,41,31.7,26,35,74.3,11,42,53,27,6,4,7,26,22
POR,5/16/19,POR @ GSW,TRUE,L,241,111,38,86,44.2,20,47,42.55319149,18,39,46.2,17,18,94.4,10,27,37,23,8,1,13,22,-3
GSW,5/16/19,GSW vs. POR,FALSE,W,242,114,42,82,51.2,33,53,62.26415094,9,29,31,21,27,77.8,12,38,50,30,4,9,16,21,3
TOR,5/15/19,TOR @ MIL,TRUE,L,239,100,34,92,37,19,50,38,15,42,35.7,17,20,85,8,38,46,17,9,4,12,21,-8
MIL,5/15/19,MIL vs. TOR,FALSE,W,241,108,37,93,39.8,26,49,53.06122449,11,44,25,23,27,85.2,15,45,60,21,8,11,12,16,8
POR,5/14/19,POR @ GSW,TRUE,L,242,94,30,83,36.1,23,55,41.81818182,7,28,25,27,31,87.1,16,31,47,21,5,5,21,16,-22
GSW,5/14/19,GSW vs. POR,FALSE,W,240,116,42,84,50,25,51,49.01960784,17,33,51.5,15,18,83.3,11,31,42,30,13,8,14,24,22
TOR,5/12/19,TOR vs. PHI,FALSE,W,239,92,34,89,38.2,27,59,45.76271186,7,30,23.3,17,19,89.5,16,33,49,15,10,4,10,22,2
POR,5/12/19,POR @ DEN,TRUE,W,239,100,38,93,40.9,34,67,50.74626866,4,26,15.4,20,24,83.3,12,43,55,16,5,7,4,31,4
PHI,5/12/19,PHI @ TOR,TRUE,L,239,90,28,65,43.1,19,38,50,9,27,33.3,25,30,83.3,5,36,41,16,4,7,15,21,-2
DEN,5/12/19,DEN vs. POR,FALSE,L,240,96,33,89,37.1,31,70,44.28571429,2,19,10.5,28,39,71.8,13,38,51,15,1,9,5,23,-4
HOU,5/10/19,HOU vs. GSW,FALSE,L,240,113,42,89,47.2,25,50,50,17,39,43.6,12,17,70.6,12,28,40,21,9,1,15,22,-5
GSW,5/10/19,GSW @ HOU,TRUE,W,241,118,42,85,49.4,26,47,55.31914894,16,38,42.1,18,23,78.3,10,25,35,25,9,7,17,19,5
TOR,5/9/19,TOR @ PHI,TRUE,L,242,101,35,81,43.2,26,45,57.77777778,9,36,25,22,29,75.9,9,25,34,25,9,4,12,24,-11
POR,5/9/19,POR vs. DEN,FALSE,W,241,119,41,89,46.1,26,56,46.42857143,15,33,45.5,22,30,73.3,11,32,43,18,4,5,9,20,11
PHI,5/9/19,PHI vs. TOR,FALSE,W,243,112,41,89,46.1,31,61,50.81967213,10,28,35.7,20,26,76.9,16,36,52,27,5,3,18,22,11
DEN,5/9/19,DEN @ POR,TRUE,L,240,108,33,86,38.4,21,54,38.88888889,12,32,37.5,30,32,93.8,16,28,44,22,7,3,6,23,-11
MIL,5/8/19,MIL vs. BOS,FALSE,W,240,116,42,94,44.7,27,47,57.44680851,15,47,31.9,17,22,77.3,12,46,58,27,8,7,16,23,25
HOU,5/8/19,HOU @ GSW,TRUE,L,239,99,33,79,41.8,21,38,55.26315789,12,41,29.3,21,24,87.5,8,31,39,19,10,3,15,20,-5
GSW,5/8/19,GSW vs. HOU,FALSE,W,240,104,39,85,45.9,26,48,54.16666667,13,37,35.1,13,18,72.2,12,30,42,28,6,1,15,19,5
BOS,5/8/19,BOS @ MIL,TRUE,L,240,91,29,93,31.2,22,54,40.74074074,7,39,17.9,26,34,76.5,12,36,48,19,9,1,14,18,-25
TOR,5/7/19,TOR vs. PHI,FALSE,W,240,125,40,82,48.8,24,42,57.14285714,16,40,40,29,33,87.9,6,36,42,22,12,2,10,18,36
POR,5/7/19,POR @ DEN,TRUE,L,239,98,36,98,36.7,26,61,42.62295082,10,37,27,16,30,53.3,13,30,43,19,6,5,6,23,-26
PHI,5/7/19,PHI @ TOR,TRUE,L,240,89,33,79,41.8,27,55,49.09090909,6,24,25,17,20,85,5,32,37,19,6,5,19,26,-36
DEN,5/7/19,DEN vs. POR,FALSE,W,239,124,44,89,49.4,36,65,55.38461538,8,24,33.3,28,31,90.3,10,52,62,26,4,4,8,22,26
MIL,5/6/19,MIL @ BOS,TRUE,W,239,113,44,100,44,36,63,57.14285714,8,37,21.6,17,25,68,11,45,56,25,4,5,7,25,12
HOU,5/6/19,HOU vs. GSW,FALSE,W,239,112,39,89,43.8,22,39,56.41025641,17,50,34,17,24,70.8,13,37,50,18,6,6,13,23,4
GSW,5/6/19,GSW @ HOU,TRUE,L,239,108,42,90,46.7,34,57,59.64912281,8,33,24.2,16,23,69.6,8,35,43,24,6,2,11,21,-4
BOS,5/6/19,BOS vs. MIL,FALSE,L,240,101,34,90,37.8,25,49,51.02040816,9,41,22,24,30,80,9,42,51,25,3,5,10,20,-12
TOR,5/5/19,TOR @ PHI,TRUE,W,240,101,35,76,46.1,25,45,55.55555556,10,31,32.3,21,26,80.8,8,35,43,19,6,3,13,24,5
POR,5/5/19,POR vs. DEN,FALSE,L,240,112,39,82,47.6,27,54,50,12,28,42.9,22,28,78.6,12,31,43,18,4,5,14,27,-4
PHI,5/5/19,PHI vs. TOR,FALSE,L,239,96,33,82,40.2,21,44,47.72727273,12,38,31.6,18,25,72,11,32,43,22,8,6,12,23,-5
DEN,5/5/19,DEN @ POR,TRUE,W,241,116,40,92,43.5,29,67,43.28358209,11,25,44,25,28,89.3,17,28,45,21,7,4,8,22,4
