Team,Date,Year,MATCHUP,Home/Away,W/L,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
MIA,10/11/20,2020,MIA vs. LAL,FALSE,L,240,93,35,79,44.3,25,51,49.01960784,10,28,35.7,13,22,59.1,9,32,41,25,4,4,13,18,-13
LAL,10/11/20,2020,LAL @ MIA,TRUE,W,239,106,43,89,48.3,32,54,59.25925926,11,35,31.4,9,14,64.3,12,34,46,23,5,4,12,22,13
MIA,10/9/20,2020,MIA @ LAL,TRUE,W,241,111,38,83,45.8,24,50,48,14,33,42.4,21,22,95.5,9,26,35,26,7,3,13,19,3
LAL,10/9/20,2020,LAL vs. MIA,FALSE,L,240,108,38,82,46.3,24,44,54.54545455,14,38,36.8,18,21,85.7,12,29,41,21,10,5,15,21,-3
MIA,10/6/20,2020,MIA vs. LAL,FALSE,L,239,96,32,75,42.7,21,43,48.8372093,11,32,34.4,21,26,80.8,7,32,39,18,8,3,11,21,-6
LAL,10/6/20,2020,LAL @ MIA,TRUE,W,241,102,35,79,44.3,21,40,52.5,14,39,35.9,18,21,85.7,10,32,42,25,5,4,15,14,6
MIA,10/4/20,2020,MIA vs. LAL,FALSE,W,240,115,41,80,51.3,29,46,63.04347826,12,34,35.3,21,23,91.3,3,34,37,25,8,3,12,23,11
LAL,10/4/20,2020,LAL @ MIA,TRUE,L,240,104,34,79,43,20,37,54.05405405,14,42,33.3,22,29,75.9,11,32,43,23,8,2,19,22,-11
MIA,10/2/20,2020,MIA @ LAL,TRUE,L,240,114,36,71,50.7,25,44,56.81818182,11,27,40.7,31,34,91.2,6,31,37,29,2,1,9,23,-10
LAL,10/2/20,2020,LAL vs. MIA,FALSE,W,240,124,49,97,50.5,33,50,66,16,47,34,10,17,58.8,16,28,44,32,6,3,9,26,10
MIA,9/30/20,2020,MIA @ LAL,TRUE,L,239,98,38,89,42.7,27,54,50,11,35,31.4,11,14,78.6,5,31,36,23,4,5,8,15,-18
LAL,9/30/20,2020,LAL vs. MIA,FALSE,W,239,116,38,84,45.2,23,46,50,15,38,39.5,25,27,92.6,9,45,54,26,7,8,12,19,18
MIA,9/27/20,2020,MIA vs. BOS,FALSE,W,240,125,45,80,56.3,32,53,60.37735849,13,27,48.1,22,26,84.6,2,38,40,30,6,2,12,13,12
BOS,9/27/20,2020,BOS @ MIA,TRUE,L,240,113,43,99,43.4,28,53,52.83018868,15,46,32.6,12,15,80,13,29,42,26,7,2,10,21,-12
LAL,9/26/20,2020,LAL vs. DEN,FALSE,W,240,117,42,77,54.5,33,53,62.26415094,9,24,37.5,24,29,82.8,5,38,43,24,6,8,13,26,10
DEN,9/26/20,2020,DEN @ LAL,TRUE,L,240,107,38,90,42.2,30,60,50,8,30,26.7,23,26,88.5,9,27,36,23,5,2,11,25,-10
MIA,9/25/20,2020,MIA @ BOS,TRUE,L,239,108,39,86,45.3,32,50,64,7,36,19.4,23,29,79.3,6,32,38,27,3,5,12,29,-13
BOS,9/25/20,2020,BOS vs. MIA,FALSE,W,238,121,42,93,45.2,30,55,54.54545455,12,38,31.6,25,29,86.2,13,37,50,29,7,4,11,23,13
LAL,9/24/20,2020,LAL @ DEN,TRUE,W,240,114,38,80,47.5,28,50,56,10,30,33.3,28,35,80,12,29,41,23,9,2,9,25,6
DEN,9/24/20,2020,DEN vs. LAL,FALSE,L,241,108,39,77,50.6,29,49,59.18367347,10,28,35.7,20,23,87,6,27,33,22,4,3,11,28,-6
MIA,9/23/20,2020,MIA vs. BOS,FALSE,W,240,112,39,91,42.9,29,54,53.7037037,10,37,27,24,27,88.9,10,30,40,20,9,2,8,20,1.2
BOS,9/23/20,2020,BOS @ MIA,TRUE,L,239,109,39,82,47.6,25,42,59.52380952,14,40,35,17,21,81,12,34,46,28,3,5,19,24,0.2
LAL,9/22/20,2020,LAL @ DEN,TRUE,L,241,106,43,83,51.8,37,57,64.9122807,6,26,23.1,14,22,63.6,4,21,25,27,11,3,16,26,-8
DEN,9/22/20,2020,DEN vs. LAL,FALSE,W,240,114,40,73,54.8,29,44,65.90909091,11,29,37.9,23,29,79.3,9,35,44,26,8,2,18,21,8
